direction,visual_acuity,level,path
down,0.1,1,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.1/down.jpg
left,0.1,1,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.1/left.jpg
right,0.1,1,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.1/right.jpg
up,0.1,1,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.1/up.jpg
down,0.2,2,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.2/down.jpg
left,0.2,2,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.2/left.jpg
right,0.2,2,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.2/right.jpg
up,0.2,2,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.2/up.jpg
down,0.3,3,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.3/down.jpg
left,0.3,3,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.3/left.jpg
right,0.3,3,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.3/right.jpg
up,0.3,3,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.3/up.jpg
down,0.4,4,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.4/down.jpg
left,0.4,4,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.4/left.jpg
right,0.4,4,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.4/right.jpg
up,0.4,4,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.4/up.jpg
down,0.5,5,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.5/down.jpg
left,0.5,5,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.5/left.jpg
right,0.5,5,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.5/right.jpg
up,0.5,5,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.5/up.jpg
down,0.6,6,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.6/down.jpg
left,0.6,6,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.6/left.jpg
right,0.6,6,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.6/right.jpg
up,0.6,6,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.6/up.jpg
down,0.7,7,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.7/down.jpg
left,0.7,7,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.7/left.jpg
right,0.7,7,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.7/right.jpg
up,0.7,7,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.7/up.jpg
down,0.8,8,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.8/down.jpg
left,0.8,8,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.8/left.jpg
right,0.8,8,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.8/right.jpg
up,0.8,8,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.8/up.jpg
down,0.9,9,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.9/down.jpg
left,0.9,9,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.9/left.jpg
right,0.9,9,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.9/right.jpg
up,0.9,9,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/0.9/up.jpg
down,1.0,10,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.0/down.jpg
left,1.0,10,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.0/left.jpg
right,1.0,10,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.0/right.jpg
up,1.0,10,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.0/up.jpg
down,1.2,12,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.2/down.jpg
left,1.2,12,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.2/left.jpg
right,1.2,12,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.2/right.jpg
up,1.2,12,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.2/up.jpg
down,1.5,15,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.5/down.jpg
left,1.5,15,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.5/left.jpg
right,1.5,15,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.5/right.jpg
up,1.5,15,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/1.5/up.jpg
down,2.0,20,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/2.0/down.jpg
left,2.0,20,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/2.0/left.jpg
right,2.0,20,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/2.0/right.jpg
up,2.0,20,/Users/jeea/Documents/Portfolio/project/eyecarex/eyetest/eyevision/static/image/2.0/up.jpg
